Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,References,Sponsors,Conference name,Conference date,Conference location,Conference code,Document Type,Publication Stage,Open Access,Source,EID
"Sadegh Norouzzadeh M., Nguyen A.","","Automatically identifying, counting, and describing wild animals in camera-trap images with deep learning",2018,"PNAS June","19","25",,"115","",,1,,,,"Sadegh Norouzzadeh, M.; Nguyen, A.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85087062481
"Sadegh Norouzzadeh M., Nguyen A., Kosmala M., Packer C.","",[No title available],2017,"Automatically Identifying Wild Animals in Camera Trap Images with Deep Learning",,,,"","",,1,,,,"Sadegh Norouzzadeh, M.; Nguyen, A.; Kosmala, M.; Packer, C.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85074367513
"Norouzzadeh M.S.","","Automatically identifying, counting, and describing wild animals in camera-trap images with deep learning",2017,"Cornell Univ",,,,"","",,1,,,,"Norouzzadeh, M.S.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85093523251
"Norouzzadeh M.S., Nguyen A., Kosmala M., Swanson A., Palmer M., Packer C., Clune J.","","Automatically identifying, counting, and describing wild animals in camera-trap images with deep learning",2017,"Proceedings of the National Academy of Sciences",,,,"","",,13,,,,"Norouzzadeh, M.S.; Nguyen, A.; Kosmala, M.; Swanson, A.; Palmer, M.; Packer, C.; Clune, J.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85058327857
"Norouzzadeh M.S., Nguyen A., Kosmala M., Swanson A., Packer C., Clune J.","","Automatically identifying wild animals in camera trap images with deep learning",2017,"Automatically identifying wild animals in camera trap images with deep learning",,,,"","",,10,,,,"Norouzzadeh, M.S.; Nguyen, A.; Kosmala, M.; Swanson, A.; Packer, C.; Clune, J.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85046301689
"Norouzzadeh M.S., Nguyen A., Kosmala M., Swanson A., Packer C., Clune J.","","Automatically identifying wild animals in camera trap images with deep learning",2017,"CoRR","1703",,,"","",,2,,,,"Norouzzadeh, M.S.; Nguyen, A.; Kosmala, M.; Swanson, A.; Packer, C.; Clune, J.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85059803585
"Norouzzadeh M.S., Nguyen A., Kosmala M., Swanson A., Palmer M., Packer C.","",[No title available],2017,"Automatically Identifying, Counting, and Describing Wild Animals in Camera-trap Images with Deep Learning","115","25",,"","",,1,,,,"Norouzzadeh, M.S.; Nguyen, A.; Kosmala, M.; Swanson, A.; Palmer, M.; Packer, C.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85083007280
"Norouzzadeh M.S., Nguyen A., Kosmala M., Swanson A., Packer C., Clune J.","",[No title available],2017,"Automatically Identifying Wild Animals in Camera Trap Images with Deep Learning","1703",,,"","",,1,,,,"Norouzzadeh, M.S.; Nguyen, A.; Kosmala, M.; Swanson, A.; Packer, C.; Clune, J.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85040219590
"Gomez A., Salazar A., Vargas F.","",[No title available],2016,"Towards Automatic Wild Animal Monitoring: Identification of Animal Species in Camera-Trap Images Using Very Deep Convolutional Neural Networks",,,,"","",,21,,,,"Gomez, A.; Salazar, A.; Vargas, F.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85007132073
"Gómez A., Salazar A., Vargas F.","","Towards automatic wild animal monitoring: identification of animal species in camera-trap images using very deep convolutional neural networks",2016,"CoRR, abs/1603",,,,"06169","",,1,,,,"Gómez, A.; Salazar, A.; Vargas, F.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85052250644
"Gomez A., Salazar A., Vargas F.","","Towards automatic wild animal monitoring: Identification of animal species in camera-trap images using very deep convolutional neural networks",2016,"arXiv preprint arXiv:1603.06169",,,,"","",,1,,,,"Gomez, A.; Salazar, A.; Vargas, F.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85081275733
"Norouzzadeh M.S., Nguyen A., Kosmala M., Swanson A., Palmer M.S., Packer C., Clune J.","",[No title available],0000,"Automatically Identifying, Counting, and Describing Wild Animals in Camera-Trap Images with Deep Learning",,,,"1","17",,2,,,,"Norouzzadeh, M.S.; Nguyen, A.; Kosmala, M.; Swanson, A.; Palmer, M.S.; Packer, C.; Clune, J.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85073093005
"Nourouzzadeh M.S., Nguyen A., Kosmala M., Swanson A., Palmer M., Packer C., Clune J.","","Automatically identifying, counting and describing wild animal in camera trap images with deep learning",0000,"Communications of the ACM",,,,"","",,1,,,,"Nourouzzadeh, M.S.; Nguyen, A.; Kosmala, M.; Swanson, A.; Palmer, M.; Packer, C.; Clune, J.",[No abstract available],,,,,,,,,,"Final","",Scopus,2-s2.0-85064910123
